13:43:02 INFO  manager.ApplicationManager - All tests start in Chrome Browser
13:43:11 INFO  tests.TestsBase - Name of test: searchPeriodCurrentMonth1
13:43:11 INFO  manager.MyListener - Start find 'element' ---> By.id: city
13:43:11 INFO  manager.MyListener - Element with 'locator' ---> By.id: city was found
13:43:14 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: .pac-item
13:43:14 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: .pac-item was found
13:43:16 INFO  manager.MyListener - Start find 'element' ---> By.id: dates
13:43:17 INFO  manager.MyListener - Element with 'locator' ---> By.id: dates was found
13:43:17 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //div[text()=' 24 ']
13:43:17 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //div[text()=' 24 '] was found
13:43:18 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //div[text()=' 28 ']
13:43:18 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //div[text()=' 28 '] was found
13:43:20 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [type='submit']
13:43:20 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [type='submit'] was found
13:43:20 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: .search-results
13:43:20 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: .search-results was found
13:43:20 INFO  manager.MyListener - Start find 'element' ---> By.xpath: (//img[@alt='logo'])[1]
13:43:21 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: (//img[@alt='logo'])[1] was found
13:43:22 INFO  tests.TestsBase - Name of test: searchPeriodCurrentMonth2
13:43:22 INFO  manager.MyListener - Start find 'element' ---> By.id: city
13:43:22 INFO  manager.MyListener - Element with 'locator' ---> By.id: city was found
13:43:25 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: .pac-item
13:43:25 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: .pac-item was found
13:43:27 INFO  manager.MyListener - Start find 'element' ---> By.id: dates
13:43:27 INFO  manager.MyListener - Element with 'locator' ---> By.id: dates was found
13:43:27 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //div[text()=' 24 ']
13:43:27 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //div[text()=' 24 '] was found
13:43:28 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //div[text()=' 27 ']
13:43:28 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //div[text()=' 27 '] was found
13:43:30 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [type='submit']
13:43:30 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [type='submit'] was found
13:43:30 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: .search-results
13:43:30 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: .search-results was found
13:43:30 INFO  manager.MyListener - Start find 'element' ---> By.xpath: (//img[@alt='logo'])[1]
13:43:30 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: (//img[@alt='logo'])[1] was found
13:43:31 INFO  tests.TestsBase - Name of test: searchPeriodInFuture
13:43:31 INFO  manager.MyListener - Start find 'element' ---> By.id: city
13:43:31 INFO  manager.MyListener - Element with 'locator' ---> By.id: city was found
13:43:34 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: .pac-item
13:43:34 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: .pac-item was found
13:43:36 INFO  manager.MyListener - Start find 'element' ---> By.id: dates
13:43:36 INFO  manager.MyListener - Element with 'locator' ---> By.id: dates was found
